@relation 'SEA_abrupt drift 4*2500 drifted att:8,9,7,9.5 generators.SEAGenerator -i 0'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {groupA,groupB}

@data

7.30967787376657,2.4053641567148585,6.374174253501082,groupB
1.1700660880722513,7.815346320453048,2.5277616657598587,groupB
9.84841540199809,8.791825178724801,9.412491794821143,groupB
3.1293596519376554,3.6797575871052812,7.051747444754559,groupA
5.467397571984655,9.644868606768501,1.0449068625097169,groupA
2.8590478615159087,0.1492708588111824,9.766978471088823,groupA
4.872328470301428,7.462414053223306,7.331520701949938,groupB
0.12806651575719585,4.122177440926348,7.257748678227514,groupA
1.3393984058689223,0.830623982249149,9.785743401478403,groupB
6.710762488101574,0.642735979440866,3.591653475606117,groupA
0.044856021828851844,0.7149831487989411,3.4842022979166454,groupA
6.064580210947476,9.323680992655007,7.444591204188149,groupB
6.125811047098681,1.7898798452881726,2.17570412209686,groupA
0.8278636648764448,4.147754563732892,2.5175545768906105,groupA
7.126874281456893,2.112353749298962,7.830924897671794,groupB
7.680212410425595,6.185077636570267,6.116507478623207,groupB
7.860424508145526,9.93471955005814,8.83104405981479,groupB
1.437450641701954,1.906168419762705,9.043197434746348,groupB
8.043954172246357,4.4142677367579175,4.6208799028599445,groupB
4.71487753120584,7.129170595398988,5.681039239357398,groupB
3.5310607217911816,0.47265869196129406,0.716236234178006,groupA
1.1261453455195114,0.0861732619926503,4.818684457110934,groupA
7.674421030154899,5.013973510122299,2.555253108964435,groupB
7.42525172953017,7.266285874260149,1.888206453647533,groupB
3.538529697087119,0.8673785516572752,8.503115152643057,groupA
7.4012998205264156,7.133110393823468,3.025369185032576,groupB
2.7721002606871137,8.742622102831945,6.098815135127635,groupB
1.4860571987167914,9.77378020386754,3.203682973504627,groupA
5.067015959528527,5.206888198929494,3.6636074451399603,groupB
5.5247523939564385,2.159589428122013,2.758837791033809,groupA
7.010389381824046,7.453528603915509,6.072882485626177,groupB
5.699036030328748,0.9522750841779049,3.3522372197194517,groupA
0.03913530617220884,2.648958274524716,8.92816957156185,groupB
2.2061360521472206,3.7233016919421615,3.7985812736297286,groupA
3.530524994432197,6.717585674995369,7.404171801693828,groupB
8.382056590908437,0.031184630208533903,0.4110248851731013,groupB
5.402294041714199,9.731076511749595,6.136376025272588,groupB
8.779666973504053,6.7697294995619774,3.0080340531226235,groupB
7.4111834643447425,6.31430080731879,3.1489234850895533,groupB
0.23024725768264087,4.106957632675964,9.273358391715437,groupA
9.330431321065385,3.1110877676339577,5.295327756124881,groupB
5.37671970037848,3.0345360463770223,7.974690553434196,groupB
5.924290426242587,9.406092652171198,5.341455346895269,groupB
6.208994736333143,5.189441777845647,1.9505618118554902,groupA
0.9114656192592707,2.6454738448632398,1.8866825776959184,groupA
0.7701393602000006,1.3087099859994689,7.076858592937672,groupA
8.922236965205332,5.34638761596543,0.8564231896368091,groupB
7.250812064616467,1.7537267769528986,9.659389240067863,groupB
3.5043282703404612,9.85905826227015,5.758925384383467,groupB
5.8977252651912915,2.3892217149118853,3.625106952300705,groupB
2.177504502624247,9.098217394832929,0.19364114853117287,groupB
6.49892101716898,9.464297337513683,8.800933221577464,groupB
2.2626210633700294,1.400669939745831,6.036507737135993,groupA
5.432993665913347,4.708485100472426,1.2151773327280246,groupB
4.773636348492961,0.9267023264241692,7.106264668386636,groupA
1.10308435847573,5.841665209013084,8.338452826774848,groupA
4.500677802499238,3.4456078306876616,2.693947785901228,groupA
9.491233558381188,0.2155262454645379,7.056400167997511,groupB
6.876936745361386,9.1670273943429,0.35406637229348337,groupB
2.379762169123677,8.033936316517703,1.5092857676375016,groupB
1.3819289816426283,0.9730143918724832,8.196935615755725,groupB
2.936879907382698,2.447354567042914,4.38554344022176,groupA
5.395378113075877,5.844042282429451,5.973873157847135,groupB
6.969710141664836,5.960810138211907,9.761960612795855,groupB
0.6924654490924442,5.033618480974998,6.913665065140028,groupA
9.561874079945179,5.476365140306731,6.689377734624735,groupB
3.492849811597832,5.20896327541072,9.563085926419765,groupB
3.6511735799341394,9.807912633621148,0.014451429446052932,groupB
1.6718374502158095,3.4936439387004814,6.951562782217548,groupA
2.3703371375851088,0.86308694853239,8.357623429061805,groupA
1.8547080092621315,2.935084475188867,5.757485983300507,groupA
3.104044850429738,9.026427452958908,8.22272860086376,groupB
3.5494425725689585,3.1006505007010876,8.374548634922727,groupA
4.537583307783864,1.416445960943582,4.557688068644325,groupA
8.520002717912567,3.943931811673369,3.7828737167086945,groupB
6.2967027729769995,2.966818069607964,7.488501934235213,groupB
2.7130783491263735,7.217042409140645,4.194957642222633,groupB
1.4851101107839015,3.717903960531422,9.018798194630998,groupA
3.3758840840971804,8.375698134119286,8.446875782921442,groupB
5.62844121757705,2.3448363677743336,8.898322197099304,groupA
