@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.641615,0.78476,0.588968,0.472975,0.254422,0.382634,0.770697,0.219948,0.313014,0.866663,1
0.2792,0.59487,0.930186,0.089417,0.000654,0.774614,0.862426,0.772537,0.450228,0.956864,1
0.196689,0.608249,0.61222,0.778505,0.039439,0.506023,0.934093,0.352927,0.967976,0.444564,1
0.931655,0.520833,0.146095,0.255234,0.990275,0.415588,0.992369,0.844872,0.336154,0.91733,1
0.31913,0.741808,0.756771,0.133771,0.362215,0.475689,0.797259,0.278453,0.745625,0.59377,1
0.903689,0.420153,0.449211,0.329279,0.752159,0.092517,0.297884,0.08154,0.823179,0.517189,0
0.401442,0.407965,0.197009,0.519765,0.620721,0.413427,0.996639,0.827856,0.953953,0.843952,1
0.903254,0.085184,0.582836,0.704825,0.893136,0.817853,0.211291,0.162092,0.79421,0.441574,1
0.404012,0.903387,0.03816,0.39382,0.385575,0.414751,0.762585,0.491612,0.304488,0.479102,0
0.413675,0.799927,0.574739,0.152718,0.49304,0.311896,0.443991,0.095738,0.209437,0.215002,0
0.362138,0.641385,0.793242,0.518191,0.066237,0.635128,0.561427,0.310593,0.59118,0.090165,1
0.347155,0.304748,0.61821,0.27701,0.430313,0.997637,0.886893,0.949711,0.032215,0.911622,0
0.009986,0.71839,0.161679,0.596479,0.971819,0.655455,0.953576,0.830733,0.76092,0.735298,1
0.837534,0.945968,0.398275,0.534813,0.716403,0.19151,0.875477,0.021556,0.827643,0.504702,1
0.886895,0.787153,0.04819,0.267747,0.89835,0.044659,0.305336,0.350343,0.651983,0.141566,1
0.125203,0.250645,0.159301,0.614161,0.165988,0.886244,0.724908,0.750249,0.056516,0.308746,0
0.280036,0.461254,0.013705,0.22098,0.657401,0.323797,0.386922,0.388452,0.071185,0.740434,0
0.749683,0.822011,0.432635,0.946667,0.635228,0.649185,0.873395,0.447827,0.873268,0.301553,1
0.994602,0.878224,0.489632,0.754034,0.780612,0.050653,0.117293,0.908451,0.152557,0.435838,1
0.560579,0.229625,0.081608,0.38056,0.335756,0.431023,0.587573,0.988806,0.800204,0.369297,0
0.9699,0.894254,0.129008,0.636931,0.133121,0.717397,0.697615,0.724927,0.052112,0.327318,1
0.059813,0.810664,0.387337,0.030413,0.707865,0.871968,0.26704,0.61912,0.384435,0.365607,1
0.315086,0.228886,0.052679,0.292691,0.639313,0.401778,0.327371,0.325691,0.031103,0.581659,0
0.698534,0.346141,0.353551,0.425529,0.696929,0.163867,0.054831,0.742314,0.621974,0.387045,0
0.621626,0.894021,0.054618,0.21505,0.556195,0.145479,0.94018,0.623625,0.334615,0.152174,0
0.409088,0.238654,0.545092,0.023055,0.404743,0.574018,0.11425,0.8355,0.648378,0.817855,0
0.423881,0.655159,0.937251,0.760014,0.042571,0.057546,0.96059,0.320779,0.014544,0.297952,0
