@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.519395,0.566139,0.441512,0.989729,0.685194,0.576585,0.215295,0.688347,0.345608,0.503213,1
0.142026,0.723562,0.476802,0.397213,0.137842,0.425001,0.236509,0.363734,0.362149,0.073533,0
0.178866,0.893152,0.076309,0.87617,0.142433,0.450272,0.575848,0.892467,0.600566,0.167236,0
0.022238,0.374818,0.568989,0.920741,0.976245,0.840372,0.677633,0.361651,0.813443,0.484389,0
0.474767,0.825696,0.132215,0.812611,0.895499,0.891891,0.757291,0.120434,0.977559,0.88321,1
0.506765,0.46947,0.487968,0.344667,0.097348,0.396056,0.236128,0.390566,0.376075,0.128074,0
0.01947,0.708363,0.414099,0.363871,0.750539,0.060235,0.360005,0.168674,0.970527,0.998599,0
0.706321,0.36975,0.645302,0.985364,0.978293,0.204362,0.24765,0.843942,0.026601,0.361221,1
0.503998,0.376514,0.695992,0.496226,0.838834,0.145597,0.253418,0.457422,0.840148,0.375198,1
0.628675,0.118181,0.456697,0.225922,0.788646,0.434876,0.352659,0.846212,0.088708,0.422737,0
0.012082,0.274333,0.519864,0.88334,0.386548,0.986424,0.584381,0.813008,0.307826,0.270587,0
0.239112,0.673397,0.721252,0.927219,0.173099,0.861432,0.265302,0.479032,0.789294,0.873571,1
0.320194,0.323642,0.179184,0.175563,0.064725,0.348817,0.666099,0.308671,0.236836,0.922786,0
0.127585,0.903232,0.167975,0.003579,0.389595,0.369367,0.975442,0.33635,0.843254,0.646656,1
0.459346,0.615805,0.869856,0.493411,0.33815,0.66638,0.543345,0.658299,0.324253,0.190336,0
0.390977,0.450273,0.665081,0.257207,0.600941,0.631335,0.558689,0.583382,0.05076,0.511789,0
0.054863,0.531584,0.825826,0.262174,0.861399,0.130914,0.326669,0.308812,0.687581,0.056187,0
0.900629,0.960666,0.556221,0.681421,0.395725,0.569014,0.932071,0.213702,0.013408,0.615947,1
0.842914,0.113617,0.858884,0.960817,0.187622,0.930271,0.316111,0.628716,0.602825,0.521014,1
0.222932,0.709396,0.316709,0.019672,0.824855,0.715896,0.846755,0.986134,0.200618,0.450043,1
0.211652,0.606981,0.83935,0.579595,0.224218,0.206755,0.896246,0.341868,0.090895,0.675458,1
0.237508,0.503054,0.683661,0.200356,0.289829,0.96186,0.996616,0.094604,0.712157,0.3629,0
0.211395,0.497459,0.63073,0.618896,0.333444,0.074351,0.981848,0.632115,0.062481,0.770671,1
0.698612,0.502126,0.089982,0.361847,0.427897,0.26227,0.760918,0.322842,0.341102,0.477039,0
0.994811,0.888128,0.467298,0.137755,0.31398,0.687366,0.0814,0.134542,0.313798,0.518839,1
0.197433,0.092229,0.246142,0.197933,0.60973,0.922375,0.797926,0.776823,0.775698,0.121501,0
0.330997,0.054174,0.709169,0.912881,0.075697,0.975392,0.412483,0.059849,0.182162,0.71396,0
0.706326,0.965373,0.216816,0.229572,0.215862,0.934167,0.817382,0.341977,0.807273,0.743008,1
0.315363,0.337785,0.932506,0.118494,0.631453,0.973439,0.249608,0.123926,0.20683,0.251935,0
0.081517,0.506603,0.618681,0.853155,0.794165,0.05706,0.169214,0.941536,0.045004,0.76783,0
0.689659,0.449876,0.276905,0.255652,0.45157,0.347557,0.460949,0.770819,0.045238,0.226872,0
0.627884,0.986217,0.294661,0.372581,0.157493,0.368429,0.075956,0.749451,0.242217,0.038752,0
0.126347,0.783015,0.304907,0.431931,0.092397,0.828148,0.990339,0.276004,0.081348,0.90906,0
0.803311,0.875177,0.099482,0.888662,0.398445,0.147146,0.597975,0.42321,0.035376,0.957183,1
0.314688,0.159382,0.28882,0.39706,0.56713,0.158788,0.659856,0.431848,0.832013,0.873407,0
0.513642,0.388941,0.730541,0.20375,0.352537,0.816764,0.951542,0.378507,0.960196,0.405704,1
0.499985,0.204479,0.765769,0.474843,0.540746,0.948381,0.55669,0.909315,0.041799,0.671152,1
0.834062,0.66699,0.870241,0.192951,0.175329,0.127117,0.146467,0.262305,0.318797,0.103962,0
0.707279,0.461764,0.144601,0.145687,0.515968,0.117031,0.821669,0.964554,0.487509,0.664278,1
0.712325,0.61046,0.038609,0.228015,0.870458,0.547078,0.578061,0.55045,0.665957,0.41101,1
0.18348,0.936123,0.150998,0.43155,0.66704,0.911556,0.321063,0.798378,0.448366,0.426108,0
0.987703,0.2867,0.774888,0.789114,0.57827,0.395266,0.686627,0.956698,0.467158,0.792859,1
0.375004,0.633107,0.260156,0.451807,0.745904,0.875342,0.843771,0.118534,0.84661,0.310739,0
0.824036,0.582456,0.686003,0.188402,0.919689,0.109053,0.110107,0.992481,0.019859,0.468042,1
0.890283,0.742386,0.696411,0.168601,0.469883,0.097711,0.942151,0.238613,0.891674,0.837727,1
0.844999,0.236002,0.013098,0.393478,0.851469,0.17594,0.870138,0.584519,0.760356,0.804803,1
0.925256,0.168092,0.302517,0.276241,0.182816,0.041965,0.586873,0.094999,0.541367,0.005208,0
0.006363,0.146853,0.533166,0.390875,0.306421,0.679569,0.030681,0.880407,0.769599,0.62208,0
0.668189,0.951201,0.554465,0.909531,0.209346,0.01208,0.909444,0.052755,0.821804,0.468181,1
0.999984,0.405271,0.355407,0.254366,0.583615,0.337563,0.19707,0.866718,0.26775,0.849856,1
0.297734,0.146485,0.933925,0.528055,0.655979,0.303517,0.539031,0.911557,0.937229,0.892723,1
0.674951,0.636656,0.665677,0.910447,0.6373,0.892349,0.606122,0.676726,0.730755,0.406354,1
0.687012,0.653692,0.651969,0.967467,0.636814,0.159671,0.780067,0.021478,0.803643,0.935387,1
0.370049,0.205718,0.291845,0.561459,0.401265,0.567586,0.289761,0.902098,0.50213,0.279484,0
0.900898,0.769026,0.8516,0.585278,0.411916,0.547905,0.58545,0.289607,0.14729,0.555925,1
0.255877,0.019148,0.148226,0.263929,0.873198,0.741704,0.081343,0.810306,0.357428,0.780481,0
0.29393,0.561617,0.539329,0.752957,0.263815,0.157752,0.509791,0.1011,0.919105,0.829108,0
0.540816,0.131818,0.325959,0.490579,0.016805,0.213953,0.878717,0.667405,0.93185,0.507573,0
0.473716,0.394005,0.523762,0.432071,0.332773,0.114077,0.171004,0.206955,0.716622,0.858171,0
0.919702,0.157693,0.577371,0.297703,0.109417,0.923438,0.575571,0.686773,0.865236,0.038662,1
0.264971,0.426604,0.005805,0.563005,0.655497,0.381125,0.298611,0.330955,0.237735,0.70609,0
0.937243,0.446082,0.292828,0.9644,0.700034,0.317875,0.592717,0.404094,0.950459,0.904667,1
0.827227,0.369803,0.982694,0.402502,0.079025,0.488358,0.422044,0.570565,0.822105,0.695733,1
0.754591,0.658284,0.194983,0.291352,0.346226,0.849303,0.254191,0.494465,0.262891,0.58763,1
0.642335,0.065791,0.848411,0.655371,0.539511,0.994761,0.799028,0.173979,0.39882,0.592112,1
0.61404,0.039543,0.407378,0.830963,0.158748,0.327139,0.866065,0.482035,0.847462,0.392074,1
0.997023,0.572925,0.124202,0.548979,0.802848,0.436176,0.950171,0.392814,0.12604,0.656647,1
0.014014,0.455867,0.22245,0.851475,0.324156,0.229716,0.595793,0.167175,0.423668,0.985296,0
0.179312,0.460713,0.465061,0.289367,0.729387,0.473913,0.083886,0.427186,0.04292,0.054244,0
