@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.274954,0.128897,0.146602,0.023238,0.54674,0.964487,0.104491,0.625146,0.410796,0.776312,0
0.867679,0.980945,0.570034,0.012807,0.412218,0.725775,0.984674,0.546127,0.18599,0.306871,1
0.14322,0.462958,0.004486,0.071498,0.34842,0.33877,0.859357,0.971547,0.865746,0.612581,0
0.203404,0.082786,0.414775,0.251755,0.948185,0.689939,0.048159,0.395207,0.768021,0.618508,0
0.786042,0.993472,0.883104,0.170292,0.962069,0.724295,0.677354,0.804395,0.441427,0.462088,1
0.712917,0.568104,0.565484,0.375443,0.787725,0.003132,0.112615,0.008617,0.481868,0.349844,0
0.255525,0.309158,0.848281,0.052085,0.010175,0.353853,0.086738,0.850312,0.003677,0.307893,1
0.312453,0.938882,0.770234,0.546442,0.148606,0.977378,0.320368,0.207641,0.491383,0.200516,0
0.70397,0.322768,0.011655,0.701039,0.745353,0.607288,0.235082,0.389043,0.911468,0.167389,0
0.058675,0.754688,0.220614,0.37233,0.379858,0.680836,0.169995,0.347161,0.847251,0.838206,0
0.31197,0.540229,0.973108,0.613638,0.027169,0.689018,0.630289,0.817838,0.741118,0.63143,1
0.023025,0.410696,0.927336,0.227636,0.658672,0.589021,0.022121,0.537672,0.303454,0.797469,1
0.940609,0.534146,0.214195,0.33373,0.250536,0.73554,0.091147,0.264547,0.188668,0.297761,0
0.707686,0.817762,0.707374,0.941111,0.735978,0.725081,0.175373,0.965939,0.874475,0.930563,1
0.604247,0.273109,0.513187,0.94474,0.21775,0.909822,0.019364,0.274209,0.668793,0.287877,0
0.922523,0.849529,0.676641,0.543299,0.470849,0.121518,0.226252,0.249647,0.039248,0.917876,0
0.604519,0.672245,0.450068,0.344561,0.269395,0.745147,0.206164,0.149531,0.920372,0.687694,0
0.202522,0.237976,0.803394,0.150929,0.916721,0.408671,0.049421,0.745451,0.293688,0.244735,1
0.539538,0.584404,0.597387,0.374383,0.001641,0.689508,0.713747,0.069247,0.503362,0.691367,0
0.547637,0.668938,0.786912,0.297894,0.803053,0.285642,0.365117,0.980791,0.001445,0.611536,1
0.695156,0.032435,0.260035,0.464924,0.406412,0.185471,0.293508,0.575749,0.168461,0.371739,0
0.592898,0.887834,0.276308,0.540241,0.453758,0.141645,0.455769,0.045573,0.367602,0.357486,0
0.004014,0.034606,0.786833,0.271308,0.721704,0.419496,0.290803,0.244962,0.125236,0.148694,1
0.698767,0.814097,0.562844,0.234484,0.889832,0.459077,0.173093,0.483898,0.779357,0.657027,0
0.741182,0.876343,0.292657,0.983165,0.829551,0.77114,0.363841,0.156376,0.272166,0.25217,0
0.774124,0.799378,0.648242,0.547689,0.019703,0.619088,0.165279,0.659469,0.030339,0.728793,0
0.14523,0.852203,0.253006,0.218616,0.14195,0.811084,0.31627,0.537988,0.517399,0.545977,0
0.622871,0.24876,0.767005,0.259906,0.528565,0.104304,0.586724,0.349902,0.422642,0.84397,1
0.743149,0.928316,0.389564,0.374006,0.072391,0.124828,0.530044,0.931399,0.017068,0.328219,0
0.37492,0.974554,0.406577,0.758282,0.148924,0.635278,0.899146,0.276085,0.642281,0.284454,1
0.136303,0.43751,0.592087,0.091131,0.879546,0.497059,0.531176,0.702181,0.592792,0.937093,1
0.116188,0.159247,0.385002,0.585754,0.710766,0.186274,0.061678,0.217328,0.612342,0.358221,1
0.939754,0.752455,0.187964,0.955678,0.039497,0.210074,0.632217,0.783246,0.361365,0.148875,0
0.922549,0.689034,0.514258,0.384492,0.693119,0.473699,0.107783,0.788947,0.817808,0.699916,1
0.525603,0.593534,0.262413,0.603927,0.0852,0.855312,0.81498,0.292339,0.442825,0.740495,0
0.841666,0.064586,0.774402,0.787351,0.685931,0.051808,0.82971,0.336745,0.876558,0.837506,1
0.220657,0.83492,0.675481,0.612027,0.017502,0.605241,0.833538,0.27542,0.284352,0.552362,0
0.421287,0.32714,0.00571,0.365443,0.720382,0.198075,0.654998,0.684781,0.256564,0.035784,0
0.526374,0.521908,0.557042,0.247055,0.435111,0.02759,0.74772,0.159351,0.696723,0.188651,0
0.788598,0.111452,0.2464,0.861981,0.499228,0.306128,0.510752,0.259294,0.953839,0.304489,1
0.208653,0.588352,0.980697,0.257529,0.851533,0.495874,0.579704,0.056087,0.590424,0.97587,0
0.864151,0.796825,0.678447,0.475612,0.494956,0.421714,0.452193,0.191898,0.001377,0.919303,0
0.460737,0.574427,0.322435,0.477924,0.369576,0.614708,0.063053,0.030704,0.912825,0.242289,0
0.883539,0.276689,0.847369,0.17928,0.130419,0.702881,0.133897,0.448437,0.486271,0.471493,1
0.740048,0.141096,0.028541,0.194762,0.401794,0.881389,0.1147,0.946217,0.897681,0.308213,1
0.171666,0.006618,0.598084,0.587511,0.027273,0.874618,0.823824,0.721451,0.484023,0.255684,1
0.425627,0.32271,0.081707,0.422502,0.423215,0.374201,0.165229,0.782584,0.174708,0.240201,0
0.773563,0.050842,0.969762,0.390879,0.477498,0.410326,0.597293,0.309313,0.120239,0.710185,1
0.404129,0.744991,0.518263,0.778494,0.449388,0.10579,0.370252,0.491091,0.845561,0.549696,0
0.776553,0.159808,0.814858,0.602734,0.527732,0.895005,0.67873,0.923268,0.077104,0.220005,1
0.71263,0.107338,0.075467,0.812321,0.589098,0.615799,0.466224,0.305124,0.017973,0.074391,1
0.898516,0.031748,0.784886,0.82975,0.384125,0.732981,0.423495,0.823611,0.271717,0.701639,1
0.03986,0.737328,0.087951,0.304267,0.734143,0.767816,0.371579,0.572335,0.412499,0.305722,1
0.507407,0.825976,0.379211,0.846497,0.297139,0.591367,0.354508,0.851819,0.417108,0.427768,0
0.191874,0.620058,0.988211,0.238498,0.577619,0.932288,0.109014,0.784041,0.132547,0.988771,1
0.223453,0.113543,0.382062,0.156004,0.936568,0.256753,0.028191,0.049472,0.662405,0.635371,1
0.318649,0.01524,0.967413,0.962989,0.250016,0.164887,0.063335,0.366953,0.393393,0.226074,1
0.572706,0.898699,0.275372,0.878205,0.052997,0.021727,0.533105,0.919387,0.317518,0.035381,0
0.599028,0.634197,0.760979,0.178069,0.938893,0.575367,0.687995,0.19286,0.870025,0.136112,0
0.662871,0.055584,0.869901,0.26556,0.256723,0.794903,0.722895,0.872417,0.812706,0.065057,1
0.314305,0.948732,0.954241,0.211561,0.124698,0.233114,0.501495,0.696605,0.657907,0.997347,1
0.610618,0.825719,0.145105,0.592328,0.131905,0.159317,0.681448,0.546371,0.765884,0.577744,0
0.765413,0.964759,0.113608,0.393089,0.667345,0.704681,0.600994,0.342358,0.819537,0.590156,0
0.963728,0.897227,0.667894,0.088505,0.818231,0.587836,0.094505,0.798289,0.968729,0.705374,0
0.93217,0.080533,0.098962,0.402411,0.807819,0.002508,0.883754,0.564956,0.014237,0.972883,1
0.798533,0.510241,0.825701,0.229505,0.17904,0.421082,0.634163,0.418838,0.956258,0.527879,0
0.359816,0.455453,0.908488,0.829279,0.68586,0.029321,0.396816,0.859354,0.717112,0.505152,1
0.96524,0.23418,0.334158,0.479462,0.909656,0.143816,0.946701,0.283194,0.096739,0.667536,1
