@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.030513,0.691655,0.851691,0.056747,0.408285,0.352389,0.993687,0.561945,0.475985,0.049411,1
0.593331,0.238328,0.663267,0.6284,0.686593,0.026549,0.732839,0.728521,0.009831,0.540209,0
0.107575,0.032764,0.932663,0.266827,0.554408,0.227267,0.142865,0.050627,0.130926,0.057926,1
0.38457,0.790755,0.260562,0.58277,0.920125,0.539506,0.418686,0.428763,0.722599,0.752627,1
0.097318,0.161248,0.633993,0.527972,0.028638,0.556699,0.597418,0.488357,0.905295,0.040966,0
0.919069,0.666738,0.642999,0.406218,0.478102,0.610209,0.989101,0.626669,0.587662,0.571613,1
0.491581,0.909954,0.282462,0.740298,0.269812,0.64747,0.81347,0.531949,0.036826,0.617187,1
0.918586,0.508013,0.895167,0.10752,0.318919,0.750394,0.393087,0.57134,0.956165,0.039812,1
0.903942,0.269022,0.327318,0.905852,0.651872,0.068979,0.216746,0.320664,0.982789,0.959581,1
0.488676,0.391196,0.98453,0.518738,0.97107,0.926796,0.987331,0.84811,0.605793,0.253675,1
0.611857,0.806126,0.426352,0.343935,0.667791,0.391611,0.676198,0.822667,0.174411,0.992273,1
0.806938,0.147994,0.13342,0.528053,0.144244,0.31661,0.77894,0.596312,0.817613,0.721367,0
0.561025,0.744649,0.249205,0.491896,0.436347,0.122264,0.516194,0.220424,0.1405,0.672737,0
0.287787,0.732292,0.246773,0.878643,0.082362,0.080796,0.375303,0.595527,0.905697,0.214471,0
0.749149,0.930413,0.156518,0.396069,0.097351,0.153264,0.495383,0.89012,0.013334,0.385417,0
0.45407,0.248785,0.688201,0.829392,0.340756,0.611701,0.893814,0.915912,0.027736,0.323963,1
0.154175,0.812905,0.07431,0.426948,0.67739,0.35938,0.085658,0.99025,0.153164,0.3192,0
0.504414,0.515286,0.050566,0.620436,0.437716,0.248329,0.166772,0.2772,0.573968,0.873524,0
