@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.130497,0.659243,0.178789,0.405957,0.531331,0.60683,0.992305,0.34635,0.182637,0.320465,0
0.827896,0.080104,0.743721,0.85823,0.451903,0.173065,0.366096,0.407751,0.802546,0.490189,1
0.267981,0.468637,0.755866,0.387848,0.627465,0.729028,0.367076,0.194766,0.437615,0.553875,0
0.569323,0.104896,0.454522,0.593206,0.046395,0.716454,0.251316,0.77776,0.426998,0.649092,0
0.696579,0.406257,0.254993,0.418409,0.229076,0.81088,0.957132,0.91053,0.817889,0.436014,1
0.491385,0.222885,0.29418,0.267729,0.371405,0.878363,0.544911,0.845437,0.611592,0.073651,0
0.92933,0.206374,0.328646,0.143338,0.101448,0.826192,0.543174,0.464581,0.887654,0.225365,1
0.690989,0.94692,0.332971,0.582669,0.55251,0.271821,0.065854,0.434694,0.864647,0.762983,1
0.004068,0.010879,0.406834,0.984194,0.572537,0.491369,0.799257,0.62837,0.161847,0.894719,0
0.553674,0.526913,0.046905,0.859903,0.310616,0.819976,0.809319,0.09384,0.692352,0.384065,0
0.762363,0.109592,0.886753,0.057596,0.784994,0.229941,0.46961,0.300934,0.724595,0.368479,1
0.779328,0.830151,0.206042,0.676175,0.459168,0.542458,0.373256,0.83243,0.003896,0.063826,0
0.769154,0.297383,0.091658,0.280146,0.600197,0.882009,0.103481,0.91898,0.857256,0.985347,1
0.677333,0.116909,0.319477,0.659749,0.023637,0.480081,0.475617,0.762379,0.765201,0.936888,1
0.597091,0.472544,0.761527,0.365088,0.139149,0.557775,0.353298,0.118521,0.962903,0.946484,1
0.062109,0.452132,0.136181,0.041976,0.426173,0.905878,0.389784,0.417719,0.07954,0.496572,0
0.180724,0.179933,0.765222,0.056205,0.84141,0.095331,0.627933,0.707013,0.605602,0.477422,1
0.145897,0.267392,0.93829,0.007652,0.593237,0.969871,0.638694,0.384329,0.312708,0.043977,0
0.601355,0.93665,0.012625,0.926901,0.152574,0.532178,0.32202,0.02739,0.351483,0.095132,0
0.911169,0.310541,0.141202,0.824115,0.379359,0.291532,0.550848,0.999491,0.198549,0.046313,0
0.002892,0.043344,0.287639,0.866274,0.768732,0.759965,0.903091,0.257165,0.896979,0.934757,1
0.349033,0.041104,0.202042,0.350642,0.380006,0.5124,0.348735,0.717182,0.073544,0.376435,0
0.729849,0.154591,0.740475,0.987868,0.862792,0.711488,0.70946,0.099997,0.905591,0.825613,1
