@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.397174,0.347518,0.294057,0.506484,0.115967,0.770536,0.659893,0.156747,0.378202,0.139763,0
0.004853,0.852254,0.023418,0.70501,0.27503,0.075388,0.610592,0.954931,0.274069,0.190202,0
0.161043,0.178055,0.540397,0.973834,0.245427,0.394521,0.217602,0.432007,0.233156,0.889909,0
0.112821,0.228802,0.991882,0.586248,0.962215,0.265155,0.362896,0.878429,0.290732,0.051448,0
0.630405,0.909584,0.50766,0.491451,0.428784,0.308093,0.717322,0.962415,0.209493,0.172649,1
0.109841,0.518787,0.526726,0.360055,0.442536,0.699594,0.174371,0.699592,0.928972,0.738959,0
0.637497,0.00876,0.63119,0.207978,0.880357,0.707044,0.723372,0.509493,0.987102,0.153246,1
0.509387,0.654316,0.707768,0.265903,0.063449,0.59087,0.284009,0.525791,0.258992,0.280869,1
0.603984,0.849641,0.353823,0.598632,0.292093,0.876443,0.74425,0.423233,0.375808,0.271293,1
0.843675,0.436435,0.338655,0.299126,0.084252,0.557856,0.261327,0.596687,0.967979,0.630471,1
0.662026,0.907281,0.246486,0.248489,0.706858,0.337721,0.607335,0.315423,0.024472,0.451009,0
0.131068,0.042047,0.824294,0.577427,0.915886,0.725226,0.643712,0.008352,0.546374,0.83552,0
0.630401,0.928894,0.196689,0.754646,0.157631,0.042179,0.378623,0.786609,0.712752,0.110274,0
0.417635,0.860497,0.937674,0.472345,0.062787,0.547224,0.075408,0.651145,0.858865,0.78861,1
0.031796,0.444457,0.691521,0.719076,0.77795,0.288101,0.781355,0.966254,0.996523,0.239106,1
0.65675,0.649901,0.170861,0.900253,0.035895,0.376426,0.39247,0.416515,0.045004,0.714833,1
0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,0.266417,0.229171,0.303976,0.371941,1
0.051575,0.099321,0.679807,0.416175,0.156223,0.488843,0.990746,0.979576,0.153548,0.930341,0
0.691226,0.349011,0.228136,0.1676,0.594631,0.80989,0.514929,0.348981,0.053093,0.60619,0
0.885284,0.189167,0.55181,0.658783,0.313954,0.000769,0.105936,0.983463,0.601031,0.53079,1
0.453404,0.319708,0.549693,0.522259,0.315315,0.696113,0.094877,0.958808,0.129678,0.023599,0
0.415203,0.195444,0.979984,0.370299,0.871794,0.051752,0.726193,0.570089,0.03988,0.360193,0
0.107704,0.766033,0.208782,0.945102,0.027574,0.746923,0.636326,0.938539,0.093859,0.959682,1
0.698689,0.658112,0.826413,0.298165,0.158864,0.360674,0.467006,0.90337,0.06023,0.567033,1
0.367996,0.882235,0.879977,0.06046,0.071766,0.229253,0.222621,0.645459,0.292982,0.885505,0
0.985779,0.945803,0.947192,0.372811,0.814716,0.270731,0.481602,0.718146,0.903019,0.425147,1
0.238113,0.453188,0.481088,0.065748,0.108823,0.893238,0.864376,0.798918,0.349781,0.129969,0
0.164598,0.607066,0.991911,0.244739,0.372214,0.519236,0.202053,0.345939,0.114957,0.793489,0
0.529256,0.633051,0.161035,0.24625,0.851922,0.049134,0.889826,0.027663,0.611949,0.290077,1
0.228219,0.240578,0.512629,0.305719,0.471544,0.346169,0.03418,0.108811,0.343643,0.026142,0
0.912981,0.943693,0.934496,0.173391,0.165558,0.922308,0.996062,0.7365,0.819015,0.581983,1
0.372036,0.572732,0.839831,0.979167,0.434129,0.777352,0.568817,0.98339,0.92728,0.198486,1
0.53305,0.267735,0.746436,0.693804,0.065947,0.519111,0.811278,0.529625,0.721356,0.528968,1
0.36293,0.782106,0.30687,0.636577,0.545782,0.310423,0.852879,0.606078,0.926592,0.828549,1
0.420145,0.876458,0.775617,0.500493,0.326165,0.00705,0.237418,0.362094,0.137419,0.306951,1
0.177654,0.226764,0.252472,0.995551,0.519234,0.934286,0.890626,0.857626,0.918377,0.621605,1
0.860321,0.5197,0.720625,0.043435,0.279124,0.776811,0.195114,0.592368,0.163075,0.611757,0
0.127675,0.497065,0.437975,0.279197,0.447855,0.662596,0.400732,0.973543,0.78768,0.069873,1
0.616826,0.491836,0.850822,0.196371,0.47554,0.572311,0.284694,0.061952,0.092116,0.426465,0
0.750461,0.360956,0.642504,0.544998,0.184843,0.926603,0.044407,0.404872,0.309898,0.357749,1
0.196066,0.262238,0.065847,0.344539,0.759286,0.203715,0.450383,0.427233,0.519395,0.700989,0
0.425927,0.541763,0.726667,0.132363,0.036613,0.40849,0.06941,0.074298,0.734267,0.356081,0
0.917871,0.603767,0.791296,0.464866,0.05774,0.745025,0.953412,0.074619,0.879717,0.776514,1
0.853787,0.929572,0.766686,0.183841,0.025054,0.905967,0.622002,0.720459,0.253065,0.469767,1
0.315165,0.941741,0.862476,0.681682,0.935838,0.98955,0.028426,0.592415,0.894678,0.57297,0
0.008332,0.12131,0.305591,0.990494,0.439371,0.025279,0.846981,0.152985,0.12219,0.030244,0
0.175441,0.245401,0.692112,0.349371,0.303015,0.708083,0.876051,0.938791,0.358038,0.122705,0
0.889963,0.598847,0.751464,0.390877,0.391959,0.044947,0.813987,0.59486,0.444919,0.166133,0
0.036159,0.348096,0.036364,0.344013,0.329367,0.058935,0.639848,0.271923,0.833682,0.008939,0
0.388269,0.28254,0.085132,0.42855,0.555673,0.616284,0.4379,0.894993,0.172427,0.534931,0
0.505182,0.126911,0.504696,0.670188,0.122538,0.959658,0.502627,0.108341,0.477601,0.983557,0
0.286734,0.334202,0.725282,0.870098,0.510713,0.312665,0.014808,0.750169,0.501236,0.053996,0
0.863436,0.69551,0.86996,0.635867,0.185479,0.463744,0.075823,0.296906,0.608071,0.120555,0
0.438728,0.015847,0.835528,0.203978,0.349202,0.079476,0.322134,0.376958,0.459619,0.353626,1
0.046386,0.194542,0.919905,0.911888,0.994767,0.240097,0.847232,0.036824,0.139919,0.772348,0
0.239665,0.566346,0.765144,0.709966,0.404883,0.499229,0.054767,0.929889,0.509917,0.207926,0
0.306289,0.788428,0.253371,0.357973,0.756916,0.661319,0.786563,0.734027,0.156249,0.027591,0
0.556761,0.015258,0.300666,0.684392,0.034901,0.11784,0.205911,0.293396,0.624684,0.271477,0
0.036372,0.014101,0.64237,0.80507,0.135833,0.844722,0.929499,0.199908,0.293324,0.497141,0
0.791286,0.106638,0.723636,0.781631,0.18307,0.35917,0.649233,0.779595,0.838971,0.05186,1
0.789638,0.687668,0.480023,0.887283,0.890098,0.807119,0.400053,0.51378,0.447821,0.851718,1
0.773931,0.1359,0.218967,0.778364,0.91597,0.738596,0.637082,0.975233,0.358172,0.741205,1
0.29632,0.667281,0.048151,0.897796,0.373185,0.09652,0.011519,0.456462,0.820821,0.142944,0
0.85916,0.777755,0.931438,0.689929,0.582228,0.718569,0.674348,0.646377,0.61581,0.146502,1
0.287253,0.073162,0.473687,0.528891,0.173665,0.998635,0.341391,0.869467,0.706528,0.782497,0
0.706287,0.274892,0.616539,0.030234,0.668894,0.874111,0.750114,0.450436,0.90186,0.459976,1
0.678419,0.014189,0.016345,0.689129,0.744354,0.732749,0.673493,0.626084,0.921576,0.080899,1
0.989627,0.345023,0.278304,0.165468,0.616906,0.186766,0.771247,0.725185,0.260203,0.326416,1
0.717439,0.270411,0.275715,0.582541,0.456939,0.070331,0.399924,0.887943,0.480391,0.671393,1
0.104451,0.14123,0.60195,0.634411,0.924502,0.496963,0.295226,0.862322,0.615056,0.975418,1
0.420319,0.881217,0.517253,0.444555,0.535351,0.861196,0.697777,0.882588,0.258865,0.06026,0
0.164288,0.793392,0.00557,0.035829,0.630475,0.029344,0.322,0.203602,0.956878,0.819398,0
0.068481,0.313413,0.701879,0.082567,0.526922,0.108722,0.4225,0.866156,0.632619,0.674674,1
0.921937,0.21247,0.834733,0.560962,0.768845,0.16645,0.278578,0.91944,0.050074,0.346503,1
0.947431,0.242534,0.407991,0.846441,0.416988,0.383955,0.130135,0.401668,0.209884,0.114907,0
0.009087,0.920851,0.923127,0.230394,0.602582,0.201627,0.288843,0.876207,0.144803,0.193935,0
0.663833,0.149816,0.497208,0.954172,0.29683,0.931113,0.642911,0.34967,0.751195,0.401461,1
0.065682,0.375411,0.174546,0.177371,0.368645,0.13938,0.790341,0.148462,0.838793,0.924464,0
0.008374,0.210583,0.961014,0.289786,0.490429,0.460131,0.795217,0.950457,0.471033,0.804322,1
0.82266,0.096547,0.155295,0.65772,0.838981,0.277899,0.756878,0.897581,0.612529,0.266437,1
0.853984,0.143624,0.446951,0.948179,0.082421,0.746528,0.51839,0.174344,0.470418,0.63064,1
0.234158,0.073234,0.917513,0.35061,0.000581,0.794453,0.379104,0.738817,0.978759,0.011615,0
0.222435,0.49253,0.35851,0.223887,0.420261,0.696409,0.793369,0.73283,0.957341,0.778299,1
0.256877,0.455642,0.869509,0.106816,0.992582,0.416906,0.247029,0.060949,0.990617,0.615737,0
0.32394,0.933097,0.536036,0.034993,0.671565,0.535315,0.283961,0.810791,0.667316,0.288455,0
0.751991,0.725978,0.773112,0.152953,0.879641,0.181199,0.70786,0.870154,0.652101,0.057635,1
0.055772,0.433875,0.699835,0.195661,0.716235,0.500576,0.977936,0.694814,0.094468,0.545908,0
0.53839,0.72712,0.429778,0.534123,0.059225,0.814241,0.182285,0.978261,0.675846,0.614701,0
0.645095,0.789504,0.854061,0.367707,0.596608,0.084045,0.876663,0.140417,0.265011,0.17296,0
0.951665,0.232161,0.970385,0.842338,0.996436,0.520152,0.121568,0.000231,0.952041,0.703429,1
0.867707,0.307665,0.76043,0.573555,0.472084,0.014265,0.282811,0.708858,0.991228,0.305216,1
