@relation 'Hplane NR 0.1'

@attribute value0 numeric
@attribute value1 numeric
@attribute value2 numeric
@attribute value3 numeric
@attribute value4 numeric
@attribute value5 numeric
@attribute value6 numeric
@attribute value7 numeric
@attribute value8 numeric
@attribute value9 numeric
@attribute label {0,1}

@data
0.863819,0.970969,0.063522,0.30543,0.946695,0.443124,0.324717,0.535953,0.987072,0.501167,1
0.650939,0.307954,0.464023,0.01145,0.628776,0.270743,0.1216,0.860571,0.331022,0.790175,0
0.374919,0.759219,0.971335,0.801862,0.009503,0.063536,0.516549,0.957525,0.642075,0.21784,1
0.025825,0.980989,0.917162,0.600164,0.130576,0.167753,0.139735,0.67709,0.563264,0.246736,0
0.762754,0.902929,0.002326,0.345367,0.029367,0.313668,0.196941,0.858645,0.426284,0.699379,1
0.872929,0.926982,0.061634,0.175402,0.300273,0.057133,0.91545,0.991283,0.294213,0.408342,1
0.221163,0.403987,0.026102,0.078699,0.322539,0.945339,0.362977,0.41967,0.788205,0.297483,0
0.872591,0.239524,0.958175,0.899435,0.041571,0.952771,0.847699,0.343596,0.470302,0.245098,1
0.404151,0.172117,0.459845,0.369755,0.85298,0.106295,0.854264,0.833507,0.947886,0.518144,1
0.263673,0.617391,0.755155,0.420679,0.53698,0.082095,0.357312,0.590994,0.416725,0.137658,0
0.862701,0.311903,0.527021,0.866703,0.86313,0.122162,0.331885,0.286446,0.424718,0.28595,0
0.427589,0.618255,0.587791,0.774924,0.002451,0.35969,0.1028,0.656509,0.461418,0.292132,0
0.907907,0.665872,0.986626,0.805645,0.042764,0.721838,0.828339,0.051352,0.001759,0.86042,1
0.93703,0.37332,0.70128,0.847154,0.984487,0.412938,0.875826,0.873614,0.671536,0.085166,1
0.162385,0.500632,0.831533,0.011101,0.500348,0.827448,0.925242,0.270789,0.929283,0.653862,1
0.467468,0.254363,0.101502,0.183698,0.816451,0.435329,0.387097,0.418924,0.114075,0.278311,0
0.531757,0.757952,0.892496,0.809044,0.617424,0.252631,0.98945,0.184855,0.907227,0.582903,1
0.240219,0.435462,0.196772,0.599128,0.03025,0.450899,0.286642,0.789082,0.471868,0.157612,0
0.511484,0.524289,0.797114,0.686202,0.710517,0.254467,0.12911,0.7058,0.649873,0.584075,1
0.937055,0.431915,0.730593,0.989447,0.444763,0.582295,0.99576,0.01552,0.796066,0.561836,1
0.55238,0.766981,0.025585,0.210288,0.222148,0.823818,0.711305,0.555522,0.664281,0.845914,1
0.282862,0.886764,0.424099,0.330985,0.888219,0.973047,0.971278,0.864275,0.107209,0.392677,0
0.351993,0.54315,0.272168,0.030633,0.69801,0.676052,0.782595,0.261456,0.717323,0.691545,1
0.69776,0.786289,0.98924,0.062346,0.387252,0.179832,0.993956,0.937036,0.430699,0.487102,0
0.889774,0.952947,0.927823,0.988001,0.978342,0.726607,0.527974,0.514453,0.542778,0.48552,1
0.525632,0.702904,0.534592,0.274276,0.354877,0.090453,0.277488,0.422271,0.375174,0.781398,0
0.35272,0.665013,0.218066,0.231341,0.71131,0.879087,0.441657,0.930086,0.338359,0.137866,0
0.665327,0.906739,0.690778,0.06274,0.495996,0.498413,0.586003,0.298388,0.422742,0.187719,0
0.962539,0.089862,0.418685,0.713174,0.206291,0.140799,0.207212,0.182828,0.750521,0.832369,1
0.467802,0.432868,0.785254,0.874959,0.342992,0.876864,0.65459,0.101514,0.759986,0.926402,1
0.233117,0.017885,0.043405,0.160518,0.597701,0.025293,0.5747,0.148327,0.533687,0.320657,0
0.442217,0.534554,0.297785,0.70013,0.114496,0.870279,0.654482,0.176127,0.706534,0.281672,0
0.652609,0.451093,0.44809,0.551326,0.383349,0.227558,0.960012,0.486173,0.041249,0.090081,0
0.647506,0.898962,0.81821,0.661593,0.777743,0.351103,0.794035,0.411659,0.231998,0.372151,1
